import time: self [us] | cumulative | imported package
import time:         9 |         90 |                                     org.python.core
import time:       646 |       4309 |                                   pickle
import time:       181 |        181 |                                     sqlalchemy.engine._py_processors
import time:       260 |        441 |                                   sqlalchemy.engine.processors
import time:      3203 |       7952 |                                 sqlalchemy.sql.sqltypes
import time:      4162 |      12113 |                               sqlalchemy.sql.selectable
import time:      2499 |      14612 |                             sqlalchemy.sql.schema
import time:       768 |      27891 |                           sqlalchemy.sql.util
import time:      1385 |      29276 |                         sqlalchemy.sql.dml
import time:      1452 |      30727 |                       sqlalchemy.sql.crud
import time:      2187 |       2187 |                       sqlalchemy.sql.functions
import time:      3228 |      37161 |                     sqlalchemy.sql.compiler
import time:       165 |        165 |                       sqlalchemy.sql._dml_constructors
import time:       355 |        355 |                       sqlalchemy.sql._elements_constructors
import time:       298 |        298 |                       sqlalchemy.sql._selectable_constructors
import time:       607 |        607 |                       sqlalchemy.sql.lambdas
import time:       362 |       1786 |                     sqlalchemy.sql.expression
import time:       770 |        770 |                       sqlalchemy.sql.events
import time:       897 |       1667 |                     sqlalchemy.sql.naming
import time:       270 |        270 |                     sqlalchemy.sql.default_comparator
import time:      4272 |      53952 |                   sqlalchemy.sql
import time:        10 |      53961 |                 sqlalchemy.sql.compiler
import time:      1579 |      65526 |               sqlalchemy.engine.interfaces
import time:       258 |        258 |               sqlalchemy.engine.util
import time:       837 |      66619 |             sqlalchemy.engine.base
import time:      2723 |      69342 |           sqlalchemy.engine.events
import time:       529 |        529 |               sqlalchemy.dialects
import time:      2012 |       2540 |             sqlalchemy.engine.url
import time:      1664 |       1664 |             sqlalchemy.engine.mock
import time:      1061 |       5264 |           sqlalchemy.engine.create
import time:       672 |        672 |               sqlalchemy.engine.row
import time:      1172 |       1843 |             sqlalchemy.engine.result
import time:       688 |       2530 |           sqlalchemy.engine.cursor
import time:      1809 |       1809 |           sqlalchemy.engine.reflection
import time:      1933 |      80876 |         sqlalchemy.engine
import time:       671 |        671 |         sqlalchemy.schema
import time:       397 |        397 |         sqlalchemy.types
import time:       640 |        640 |           sqlalchemy.engine.characteristics
import time:       910 |       1549 |         sqlalchemy.engine.default
import time:       507 |     107565 |       sqlalchemy
import time:      1519 |       1519 |                   sqlalchemy.sql._orm_types
import time:       447 |       1966 |                 sqlalchemy.orm._typing
import time:      1207 |       3173 |               sqlalchemy.orm.base
import time:       398 |        398 |               sqlalchemy.orm.mapped_collection
import time:       672 |       4243 |             sqlalchemy.orm.collections
import time:       494 |        494 |               sqlalchemy.orm.path_registry
import time:       816 |       1309 |             sqlalchemy.orm.interfaces
import time:      1515 |       7066 |           sqlalchemy.orm.attributes
import time:      1695 |       8760 |         sqlalchemy.orm.util
import time:       657 |       9417 |       sqlalchemy.orm.exc
import time:      1236 |       1236 |           sqlalchemy.orm.state
import time:       531 |       1767 |         sqlalchemy.orm.instrumentation
import time:       317 |        317 |               sqlalchemy.future.engine
import time:      1023 |       1339 |             sqlalchemy.future
import time:      1574 |       2913 |           sqlalchemy.orm.context
import time:       807 |        807 |               sqlalchemy.orm.strategy_options
import time:      1257 |       1257 |               sqlalchemy.orm.descriptor_props
import time:      2051 |       2051 |               sqlalchemy.orm.relationships
import time:      1174 |       5288 |             sqlalchemy.orm.properties
import time:      2468 |       2468 |             sqlalchemy.orm.query
import time:       461 |        461 |             sqlalchemy.orm.unitofwork
import time:      2110 |       2110 |                 sqlalchemy.orm.evaluator
import time:       798 |        798 |                   sqlalchemy.orm.sync
import time:       455 |       1253 |                 sqlalchemy.orm.persistence
import time:       555 |       3917 |               sqlalchemy.orm.bulk_persistence
import time:       339 |        339 |               sqlalchemy.orm.identity
import time:       418 |        418 |               sqlalchemy.orm.state_changes
import time:      1338 |       6011 |             sqlalchemy.orm.session
import time:       729 |      14954 |           sqlalchemy.orm.strategies
import time:       442 |      18308 |         sqlalchemy.orm.loading
import time:      1387 |      21461 |       sqlalchemy.orm.mapper
import time:      1112 |       1112 |       sqlalchemy.orm._orm_constructors
import time:      1297 |       1297 |         sqlalchemy.orm.clsregistry
import time:      1136 |       1136 |         sqlalchemy.orm.decl_base
import time:      1049 |       3481 |       sqlalchemy.orm.decl_api
import time:       644 |        644 |         sqlalchemy.orm.writeonly
import time:       619 |       1262 |       sqlalchemy.orm.dynamic
import time:       593 |        593 |         sqlalchemy.orm.scoping
import time:      4405 |       4998 |       sqlalchemy.orm.events
import time:       308 |        308 |       sqlalchemy.orm.dependency
import time:      1255 |     150855 |     sqlalchemy.orm
import time:       203 |        203 |       backend.app.auth
import time:      1355 |       1355 |             jwt.exceptions
import time:       508 |        508 |             jwt.types
import time:       240 |        240 |                         cryptography.__about__
import time:       159 |        399 |                       cryptography
import time:       134 |        532 |                     cryptography.hazmat
import time:       308 |        840 |                   cryptography.hazmat.primitives
import time:      1631 |       2470 |                 cryptography.hazmat.primitives.asymmetric
import time:       395 |        395 |                 cryptography.utils
import time:       178 |        178 |                     cryptography.hazmat.bindings
import time:      2699 |       2699 |                     _cffi_backend
import time:     25045 |      27921 |                   cryptography.hazmat.bindings._rust
import time:       222 |      28143 |                 cryptography.exceptions
import time:       519 |        519 |                   cryptography.hazmat.primitives.hashes
import time:      1227 |       1746 |                 cryptography.hazmat._oid
import time:       309 |        309 |                 cryptography.hazmat.primitives._serialization
import time:       222 |        222 |                 cryptography.hazmat.primitives.asymmetric.utils
import time:       665 |      33947 |               cryptography.hazmat.primitives.asymmetric.ec
import time:       597 |      34543 |             jwt.utils
import time:       215 |        215 |             cryptography.hazmat.backends
import time:       324 |        324 |               cryptography.hazmat.primitives._asymmetric
import time:       231 |        231 |               cryptography.hazmat.primitives.asymmetric.rsa
import time:       269 |        823 |             cryptography.hazmat.primitives.asymmetric.padding
import time:       221 |        221 |             cryptography.hazmat.primitives.asymmetric.ed448
import time:       196 |        196 |             cryptography.hazmat.primitives.asymmetric.ed25519
import time:       139 |        139 |               cryptography.hazmat.primitives.serialization.base
import time:       230 |        230 |                 cryptography.hazmat.primitives.asymmetric.dsa
import time:       202 |        202 |                   cryptography.hazmat.primitives._cipheralgorithm
import time:       282 |        282 |                           cryptography.hazmat.decrepit
import time:       292 |        574 |                         cryptography.hazmat.decrepit.ciphers
import time:       202 |        202 |                         cryptography.hazmat.primitives._modes
import time:       304 |       1079 |                       cryptography.hazmat.decrepit.ciphers.modes
import time:       293 |        293 |                         cryptography.hazmat.decrepit.ciphers.algorithms
import time:      1386 |       1678 |                       cryptography.hazmat.primitives.ciphers.algorithms
import time:       254 |       3010 |                     cryptography.hazmat.primitives.ciphers.modes
import time:       507 |       3517 |                   cryptography.hazmat.primitives.ciphers.base
import time:       204 |       3923 |                 cryptography.hazmat.primitives.ciphers
import time:      6415 |       6415 |                   bcrypt._bcrypt
import time:       267 |       6682 |                 bcrypt
import time:       977 |      11810 |               cryptography.hazmat.primitives.serialization.ssh
import time:       243 |      12192 |             cryptography.hazmat.primitives.serialization
import time:       486 |      50536 |           jwt.algorithms
import time:       265 |      50800 |         jwt.api_jwk
import time:       451 |        451 |           jwt.warnings
import time:      1087 |       1538 |         jwt.api_jws
import time:       619 |        619 |         jwt.api_jwt
import time:       505 |        505 |               urllib.response
import time:       313 |        818 |             urllib.error
import time:      2757 |       2757 |             _scproxy
import time:      1131 |       4704 |           urllib.request
import time:       475 |        475 |           jwt.jwk_set_cache
import time:       344 |       5522 |         jwt.jwks_client
import time:       291 |      58768 |       jwt
import time:        44 |         44 |         backend.app.core
import time:       506 |        506 |           pydantic_settings.exceptions
import time:       647 |        647 |               gettext
import time:      1142 |       1788 |             argparse
import time:       523 |        523 |               pydantic._internal._dataclasses
import time:       402 |        924 |             pydantic.dataclasses
import time:       459 |        459 |                 pydantic_settings.utils
import time:       572 |        572 |                 pydantic_settings.sources.types
import time:      2108 |       2108 |                 pydantic_settings.sources.utils
import time:       497 |       3635 |               pydantic_settings.sources.base
import time:       598 |        598 |                     pydantic_settings.sources.providers.env
import time:       485 |       1083 |                   pydantic_settings.sources.providers.aws
import time:       132 |        132 |                     pydantic.alias_generators
import time:       496 |        627 |                   pydantic_settings.sources.providers.azure
import time:      1517 |       1517 |                   pydantic_settings.sources.providers.cli
import time:      1008 |       1008 |                         dotenv.parser
import time:       707 |        707 |                         dotenv.variables
import time:       513 |       2228 |                       dotenv.main
import time:       153 |       2380 |                     dotenv
import time:       502 |       2882 |                   pydantic_settings.sources.providers.dotenv
import time:      1540 |       1540 |                   pydantic_settings.sources.providers.gcp
import time:       117 |        117 |                   pydantic_settings.sources.providers.json
import time:       252 |        252 |                     pydantic_settings.sources.providers.toml
import time:       115 |        366 |                   pydantic_settings.sources.providers.pyproject
import time:       467 |        467 |                   pydantic_settings.sources.providers.secrets
import time:       103 |        103 |                   pydantic_settings.sources.providers.yaml
import time:       413 |       9109 |                 pydantic_settings.sources.providers
import time:        10 |       9119 |               pydantic_settings.sources.providers.aws
import time:       398 |        398 |               pydantic_settings.sources.providers.nested_secrets
import time:       402 |      13552 |             pydantic_settings.sources
import time:      1122 |      17384 |           pydantic_settings.main
import time:        90 |         90 |           pydantic_settings.version
import time:       475 |      18454 |         pydantic_settings
import time:       778 |      19275 |       backend.app.core.config
import time:      2299 |      80543 |     backend.app.auth.jwt
import time:       403 |        403 |             authlib.consts
import time:      1406 |       1808 |           authlib
import time:        94 |       1902 |         authlib.integrations
