import time: self [us] | cumulative | imported package
import time:       607 |        607 |                           unicodedata
import time:       277 |        277 |                           idna.idnadata
import time:       161 |        161 |                           idna.intranges
import time:       539 |       1583 |                         idna.core
import time:       157 |        157 |                         idna.package_data
import time:       195 |       1934 |                       idna
import time:       709 |        709 |                       httpx._urlparse
import time:       289 |       2931 |                     httpx._urls
import time:       493 |       9473 |                   httpx._models
import time:       336 |      10199 |                 httpx._auth
import time:       203 |        203 |                 httpx._config
import time:       170 |        170 |                       httpx._transports.base
import time:       216 |        385 |                     httpx._transports.asgi
import time:       217 |        217 |                     httpx._transports.default
import time:       166 |        166 |                     httpx._transports.mock
import time:       122 |        122 |                     httpx._transports.wsgi
import time:       189 |       1077 |                   httpx._transports
import time:        10 |       1086 |                 httpx._transports.base
import time:       446 |      11932 |               httpx._client
import time:       151 |      12082 |             httpx._api
import time:       652 |        652 |                   gettext
import time:       730 |        730 |                       _uuid
import time:       376 |       1106 |                     uuid
import time:       414 |        414 |                     click._compat
import time:       199 |        199 |                       click.globals
import time:       302 |        302 |                       click.utils
import time:       380 |        880 |                     click.exceptions
import time:       932 |       3330 |                   click.types
import time:       289 |        289 |                   click._utils
import time:       319 |        319 |                     click.parser
import time:       214 |        533 |                   click.formatting
import time:       298 |        298 |                   click.termui
import time:       776 |       5875 |                 click.core
import time:       331 |        331 |                 click.decorators
import time:       280 |       6484 |               click
import time:       181 |        181 |                 pygments
import time:      1160 |       1160 |                 pygments.lexers._mapping
import time:       325 |        325 |                 pygments.modeline
import time:       725 |        725 |                       _csv
import time:       292 |       1016 |                     csv
import time:       169 |        169 |                         importlib._abc
import time:       294 |        462 |                       importlib.util
import time:       550 |       1011 |                     zipfile
import time:        86 |         86 |                         importlib.metadata._functools
import time:       474 |        560 |                       importlib.metadata._text
import time:       300 |        859 |                     importlib.metadata._adapters
import time:       210 |        210 |                     importlib.metadata._meta
import time:       158 |        158 |                     importlib.metadata._collections
import time:        88 |         88 |                     importlib.metadata._itertools
import time:       378 |        378 |                     importlib.abc
import time:       795 |       4512 |                   importlib.metadata
import time:       141 |       4653 |                 pygments.plugin
import time:       537 |        537 |                 pygments.util
import time:       215 |       7069 |               pygments.lexers
import time:       247 |        247 |                   rich._extension
import time:       229 |        475 |                 rich
import time:       290 |        290 |                 rich._null_file
import time:       214 |        214 |                 rich.errors
import time:       261 |        261 |                         _compat_pickle
import time:       672 |        672 |                         _pickle
import time:        40 |         40 |                             org
import time:         6 |         46 |                           org.python
import time:         7 |         53 |                         org.python.core
import time:       562 |       1547 |                       pickle
import time:       263 |        263 |                         colorsys
import time:       186 |        186 |                             rich.color_triplet
import time:       192 |        378 |                           rich.palette
import time:       142 |        519 |                         rich._palettes
import time:       265 |        265 |                         rich.repr
import time:       162 |        162 |                         rich.terminal_theme
import time:       675 |       1883 |                       rich.color
import time:       449 |       3878 |                     rich.style
import time:       295 |       4173 |                   rich.default_styles
